,1w_exp,1m_exp,3m_exp,1y_exp
al_lme_closing_stock,0.223138655,0.329127861,0.484670945,0.729810968
us_treasuries_2y,0.118231499,0.20494522,0.327778145,0.640562088
indian_rupee_spot,0.175006376,0.259668181,0.378638671,0.613622387
japanese_yen_spot,0.150793234,0.228774162,0.344337929,0.595440052
us_dollar_index,0.107254622,0.169644977,0.2849432,0.590855854
us_treasuries_10y,0.118603291,0.202727985,0.330832752,0.586209421
ftse_bric_50_index,0.141859097,0.216270224,0.312653463,0.583465684
south_korean_won_spot,0.1315465,0.179788614,0.295251238,0.561627071
euro_spot,0.103036092,0.16296272,0.266805283,0.545937173
spx_small_cap_index,0.31053042,0.437874459,0.538759297,0.515492684
spx_index,0.204326187,0.294300481,0.394539618,0.449732496
msci_em_europe_index,0.049167158,0.086296316,0.170919168,0.447040489
uk_pound_spot,0.008511721,0.021219818,0.086795854,0.434038324
nor_krone_spot,0.064159086,0.093464163,0.177573605,0.430916016
10yr_tips,0.007097026,0.027828637,0.127279127,0.409826588
al_comex_stocks,0.006629786,0.02394975,0.114617806,0.369393444
malaysian_ringgit_spot,0.032507431,0.054930018,0.105906156,0.36600026
pct_change_indpro_us,0.251936381,0.348015027,0.416517052,0.361417753
china_caixin_pmi,0.163734626,0.227179024,0.295351406,0.357033096
australian_dollar_spot,0.009838201,0.005381538,0.073714974,0.341796091
eurostoxx_50_index,0.107125986,0.170310994,0.26143402,0.294883757
al_lme_cancelled_warrants,0.05919089,0.086040222,0.163713122,0.286144511
japan_gdp_agr,0.119520768,0.156631886,0.204228286,0.237774714
al_lme_prices_abs_log_returns,0.520449835,0.359697939,0.27365463,0.225223153
us_gdp_agr,0.172690032,0.218684262,0.267159039,0.224531387
al_lme_delivered_out,0.030097775,0.017792413,0.059679517,0.214946513
germany_gdp_agr,0.147343171,0.200744017,0.251416985,0.197244546
japan_pmi,0.203019387,0.284694141,0.325831777,0.195335654
russian_ruble_spot,0.110331489,0.128133568,0.127108114,0.174972277
germany_pmi,0.11835483,0.144597617,0.112664313,0.174712118
china_gdp_agr,0.038623336,0.05693366,0.072684577,0.164795067
msci_europe_index,0.151800401,0.229822527,0.295818676,0.164213179
mexican_peso_spot,0.032475624,0.036249939,0.072109456,0.152769376
al_lme_delivered_in,0.089320032,0.093686216,0.139721044,0.145311832
bdi,0.244676329,0.30369143,0.301746588,0.140098889
emirate_dirham_spot,0.007106862,0.004663547,0.008525197,0.138768772
vix,0.155983667,0.14862772,0.180640738,0.137023827
al_shfe_stocks,0.013523427,0.010102692,0.013400383,0.120126407
china_300,0.123093338,0.137713048,0.117644641,0.113298402
canadian_dollar_spot,0.150975502,0.193449325,0.1063469,0.113010131
china_yuan_spot,0.187850045,0.24751134,0.228197147,0.080733786
vdax_index,0.15274329,0.130360892,0.121208366,0.065249012
eurostoxx_banks_index,0.015882577,0.00748936,0.033640878,0.056174161
al_lme_prices_log_returns,0.03989708,0.025278427,0.046028388,0.046678516
al_lme_prices_daily_returns,0.032425267,0.020041057,0.042198147,0.043742515
us_pmi,0.159291117,0.207168932,0.20698143,0.040909384
