date,al_lme_prices,"('FeatureName.EXCHANGE_CURRENCY', 'us_dollar_index')","('FeatureName.EXPORT_CURRENCY', 'canadian_dollar_spot')","('FeatureName.EXPORT_CURRENCY', 'euro_spot')","('FeatureName.EXPORT_CURRENCY', 'emirate_dirham_spot')","('FeatureName.EXPORT_CURRENCY', 'russian_ruble_spot')","('FeatureName.EXPORT_CURRENCY', 'indian_rupee_spot')","('FeatureName.EXPORT_CURRENCY', 'nor_krone_spot')","('FeatureName.EXPORT_CURRENCY', 'australian_dollar_spot')","('FeatureName.EXPORT_CURRENCY', 'malaysian_ringgit_spot')","('FeatureName.IMPORT_CURRENCY', 'euro_spot')","('FeatureName.IMPORT_CURRENCY', 'japanese_yen_spot')","('FeatureName.IMPORT_CURRENCY', 'mexican_peso_spot')","('FeatureName.IMPORT_CURRENCY', 'south_korean_won_spot')","('FeatureName.IMPORT_CURRENCY', 'china_yuan_spot')","('FeatureName.IMPORT_CURRENCY', 'uk_pound_spot')","('FeatureName.IMPORT_CURRENCY', 'indian_rupee_spot')","('FeatureName.INVENTORY_STOCK', 'al_lme_closing_stock')","('FeatureName.INVENTORY_STOCK', 'al_comex_stocks')","('FeatureName.INVENTORY_STOCK', 'al_shfe_stocks')","('FeatureName.INVENTORY', 'al_lme_cancelled_warrants')","('FeatureName.INVENTORY', 'al_lme_delivered_out')","('FeatureName.INVENTORY', 'al_lme_delivered_in')","('FeatureName.SENTIMENT', 'pct_change_indpro_us')","('FeatureName.SENTIMENT', 'vdax_index')","('FeatureName.SENTIMENT', 'vix')","('FeatureName.SENTIMENT', '10yr_tips')","('FeatureName.SENTIMENT', 'ftse_bric_50_index')","('FeatureName.SENTIMENT', 'msci_em_europe_index')","('FeatureName.SENTIMENT', 'msci_europe_index')","('FeatureName.SENTIMENT', 'us_treasuries_2y')","('FeatureName.SENTIMENT', 'us_treasuries_10y')","('FeatureName.SENTIMENT', 'spx_small_cap_index')","('FeatureName.SENTIMENT', 'spx_index')","('FeatureName.SENTIMENT', 'eurostoxx_banks_index')","('FeatureName.SENTIMENT', 'eurostoxx_50_index')","('FeatureName.SENTIMENT', 'bdi')","('FeatureName.SENTIMENT', 'china_300')","('FeatureName.SENTIMENT', 'china_gdp_agr')","('FeatureName.SENTIMENT', 'germany_gdp_agr')","('FeatureName.SENTIMENT', 'japan_gdp_agr')","('FeatureName.SENTIMENT', 'us_gdp_agr')","('FeatureName.SENTIMENT', 'china_caixin_pmi')","('FeatureName.SENTIMENT', 'germany_pmi')","('FeatureName.SENTIMENT', 'japan_pmi')","('FeatureName.SENTIMENT', 'us_pmi')"
6/1/2015,1722.5,97.392,1.2521,1.0925,3.673,53.48,63.5838,7.9544,0.7604,3.681,1.0925,124.76,15.4808,1115.2,6.1985,1.52,63.5838,,,,,,,-0.9,27.15,13.97,0.39,1093.53,274.051,1685.534,0.64,2.19,715.27,2111.7316,153.24,3575.04,589,5076.179,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/2/2015,1701.25,95.835,1.2399,1.1152,3.673,52.735,63.6792,7.8255,0.7768,3.697,1.1152,124.08,15.4273,1106.58,6.198,1.5342,63.6792,,,,,,,-0.9,27.43,14.24,0.44,1095.5,276.071,1703.594,0.64,2.27,717.2,2109.5972,154.91,3561.89,591,5161.87,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/3/2015,1714.25,95.465,1.2453,1.1274,3.673,54.3,63.9867,7.7561,0.7784,3.6835,1.1274,124.24,15.5108,1106.51,6.1976,1.5336,63.9867,,,,,,,-0.9,26.31,13.66,0.55,1090,273.589,1722.34,0.69,2.38,724.65,2114.0674,156.5,3583.82,598,5143.59,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/4/2015,1705.75,95.461,1.2502,1.1237,3.6724,56.235,63.954,7.7564,0.7687,3.695,1.1237,124.36,15.5335,1112.65,6.2006,1.5364,63.954,,,,,,,-0.9,25.99,14.71,0.5,1081.52,269.494,1710.325,0.66,2.31,717.58,2095.8441,155.53,3556.38,603,5181.416,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/5/2015,1712.5,96.306,1.2437,1.1111,3.6726,56.195,63.7595,7.9479,0.7627,3.717,1.1111,125.61,15.7035,1123.54,6.2024,1.527,63.7595,,,,,,,-0.9,26.29,14.21,0.55,1070.92,267.03,1669.029,0.73,2.41,722.12,2092.8309,152.87,3510.01,610,5230.552,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/8/2015,1710,95.299,1.241,1.1291,3.673,55.995,63.9369,7.8075,0.7699,3.766,1.1291,124.47,15.6255,1117.87,6.2053,1.5348,63.9369,,,,,,,-0.9,25.3,15.29,0.54,1078.99,264.893,1667.694,0.7,2.39,718.46,2079.2804,151.14,3468.31,610,5353.7514,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/9/2015,1711.75,95.166,1.2336,1.1283,3.673,55.6625,64.0001,7.7778,0.7687,3.747,1.1283,124.32,15.5765,1120.45,6.2047,1.5384,64.0001,,,,,,,-0.9,25.81,14.47,0.56,1070.65,266.784,1666.727,0.72,2.42,716.81,2080.1521,150.98,3456.79,612,5317.461,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/10/2015,1722.5,94.646,1.2253,1.1324,3.673,54.316,63.7562,7.7605,0.7758,3.7325,1.1324,122.65,15.4278,1109.86,6.2055,1.5529,63.7562,,,,,,,-0.9,24.35,13.22,0.63,1070.11,272.632,1705.887,0.75,2.5,727.24,2105.2023,154.26,3526.48,618,5309.112,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/11/2015,1713.25,94.976,1.229,1.1257,3.6724,54.798,63.9493,7.8424,0.7753,3.745,1.1257,123.39,15.344,1112.44,6.2065,1.5513,63.9493,,,,,,,-0.9,25.62,12.85,0.56,1073.44,272.369,1704.843,0.73,2.39,727.12,2108.8562,155.27,3551.91,629,5306.59,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/12/2015,1701.5,94.972,1.232,1.1268,3.6726,55.09,64.0895,7.7419,0.7723,3.758,1.1268,123.37,15.4,1111.17,6.2081,1.5554,64.0895,,,,,,,-0.9,29.36,13.78,0.55,1080.95,270.571,1694.137,0.74,2.39,725.95,2094.1057,153.32,3502.77,642,5335.1151,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/15/2015,1676.75,94.81,1.2324,1.1283,3.673,54.5,64.0747,7.7489,0.7761,3.759,1.1283,123.41,15.4313,1115.62,6.208,1.5599,64.0747,,,,,,,-0.9,33.41,15.39,0.51,1067.81,269.09,1664.561,0.72,2.36,723.76,2084.4253,149.34,3438.07,656,5221.1665,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/16/2015,1666,94.999,1.2291,1.1246,3.673,54.055,64.1557,7.7525,0.7747,3.749,1.1246,123.34,15.3894,1117.74,6.2085,1.5644,64.1557,,,,,,,-0.9,32.34,14.81,0.44,1065.1,270.156,1672.325,0.71,2.32,728.76,2096.2924,149.54,3454.09,681,5064.8212,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
6/17/2015,1665.5,94.296,1.2223,1.1335,3.6724,53.63,64.0005,7.6568,0.7744,3.757,1.1335,123.41,15.2554,1114.15,6.2086,1.583,64.0005,,,,,,,-0.9,33.95,14.5,0.42,1073.05,269.754,1664.633,0.67,2.32,727.56,2100.4437,148.38,3428.76,725,5138.8307,7,1.2,-0.1,3.8,49.2,51.1,50.9,54
