Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,41.513047100839536,0.06014326149080363,0.0785189846487259,0.0061652604540732465,1.832449986621597
vol_only,46.10579049485224,0.06417113988133902,0.08244910351907361,0.0067980433061512234,1.9551717266785207
al_lme_prices_abs_log_returns,41.513047100839536,0.06014326149080363,0.0785189846487259,0.0061652604540732465,1.832449986621597
best_vol,47.767213671790046,0.06418742251977573,0.08140192076764373,0.006627615768788071,1.955667827485925
best5,62.03877099475261,0.07723520154998592,0.09074901851379936,0.008236314491816525,2.3532086644258396
best4_vol,62.63309233915255,0.0783430030713126,0.09138122912302815,0.008355858891940808,2.3869612550339308
best10,77.7878811828002,0.09789691758163699,0.11331391251759682,0.012875036749393434,2.9827315790015247
best9_vol,65.88721977920966,0.08362779245252135,0.09996743738489809,0.010014706883598692,2.5479786656440067
best20,100.85259946977823,0.12537279408978935,0.14201677346043742,0.02032146370777925,3.8198689122916236
best19_vol,86.50042969045735,0.10994995589971997,0.12506883090003604,0.015770112742970608,3.349964571646893
