Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,0.6252888212654425,0.0001325675390715593,0.00021037041043816025,3.3061644342413586e-05,0.004039079011956767
vol_only,2.8540965887123866,0.0009843782657918772,0.0005319328702582493,8.786244216829316e-05,0.029992120401663498
al_lme_prices_abs_log_returns,0.6252888212654425,0.0001325675390715593,0.00021037041043816025,3.3061644342413586e-05,0.004039079011956767
best_vol,3.2903040150663267,0.0019583075907562246,0.0014193647133438907,0.0002319769726645542,0.05966588158892791
best5,0.8791275087544067,0.0010757617975906029,0.0011811841083993143,0.0002135819324203097,0.032776401590797435
best4_vol,3.0202739224924287,0.00298292373836488,0.0028275048820756406,0.0005170413919576836,0.0908839731828606
best10,6.952696811437949,0.007983742039669155,0.0072450651495881155,0.0016189380326383654,0.24324932887151507
best9_vol,7.112399959117968,0.007209203833627347,0.005641588379415755,0.0011458221614262026,0.21965063318860398
best20,11.338161767906364,0.013284759451986797,0.015134386194988797,0.004429767774371057,0.40476117650830573
best19_vol,13.672975163385367,0.013321596542068126,0.013851007920118768,0.0033690285081333596,0.40588353208985367
