Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,1.2654680792669468,0.002800131819906536,0.002457869516327676,0.00014715907245477732,5.104094086471815
vol_only,0.08113291895981392,0.00015125100207448095,0.0006585180408726539,2.735595775563355e-05,0.275701098865915
al_lme_closing_stock,2.461926994562972,0.005281387508341353,0.00512694667060533,0.00058839219815395,9.626939188381137
best_vol,11.07886593021264,0.024524665257943192,0.018807417071171686,0.003501848419763264,44.70368505462257
best5,0.44866088411943233,0.0009472020708720273,0.0009774565331999159,9.81091803960708e-05,1.7265646046596312
best4_vol,4.870185124107369,0.01045090989638828,0.010355703131316991,0.0010817907336227027,19.049971921270654
best10,0.43524904200978387,0.0009259073822804043,0.0008957364865675142,9.46820802871554e-05,1.6877485413082292
best9_vol,4.32594457832198,0.009205324469792163,0.008896731235601411,0.001054952559826311,16.77951244573732
best20,0.8071804063091358,0.0016567799205517207,0.0017352219961271826,0.0001985519572406197,3.019986607400346
best19_vol,0.5420808609063624,0.001242909659642467,0.0021921211702834527,7.735224033467751e-05,2.2655820738678183
