Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,24.857657262367358,0.04539606988851318,0.057652057938244995,0.003330661402618013,6.570987750995252
vol_only,29.58076013291721,0.05258231225809198,0.069819663463619,0.004921882115190444,7.61118155416265
spx_small_cap_index,41.61229515891482,0.07041586814024497,0.08295473915654303,0.006950375030958836,10.192552090116651
best_vol,36.424399901418255,0.061810734685246414,0.07693014819630398,0.005957797316573629,8.946976720545226
best5,51.06784283799128,0.08739766607300263,0.10722241746788488,0.012145122329385295,12.650632414692558
best4_vol,70.31698296495895,0.12265093401670701,0.14972837846050163,0.025268612780189947,17.753470444714416
best10,32.1099999981321,0.05623121268126132,0.06675182740919725,0.004594978706133915,8.13935238578158
best9_vol,31.341684619160894,0.0582409058968472,0.06900241895853713,0.004834619294058129,8.430251345433913
best20,68.29673215657255,0.11715379647111461,0.13904827550602086,0.01996719002717065,16.957771090864316
best19_vol,33.51651398219065,0.05793175090635512,0.07120020042395203,0.005553410193300322,8.38550179639428
