Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,44.35853920608588,0.06165009022474569,0.07991261493693602,0.0063862287886913924,1.878360172150451
vol_only,45.87150503164834,0.06427903410051003,0.08284255854338353,0.006863167432430946,1.9584590568893492
al_lme_prices_abs_log_returns,44.35853920608588,0.06165009022474569,0.07991261493693602,0.0063862287886913924,1.878360172150451
best_vol,43.58867055868153,0.062214632267415484,0.08123594497334856,0.006600245006254478,1.8955606869362303
best5,63.08118516291713,0.07896548968896455,0.09308103582422267,0.00870606893117934,2.405927230039507
best4_vol,59.81152977262025,0.07641544396124648,0.09045533019248427,0.008204585045381426,2.328232220759774
best10,75.20295321490013,0.09535389678487705,0.11208666481973331,0.012885603117625039,2.905250605913397
best9_vol,72.9573227874755,0.09268219148219516,0.1089670357406746,0.011941779370106454,2.8238488623962956
best20,91.97730762757386,0.11607340099094268,0.13109508550339707,0.0175798996348683,3.536534215483133
best19_vol,70.75820113547692,0.09262764097798744,0.10599007973775403,0.011260743393799445,2.8221868130124106
