Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,1.1734650979579395,0.002607108246350248,0.0029371793661724798,0.0003360380125708978,0.3773735566615871
vol_only,3.5082768810423217,0.005863770974420214,0.007672736556912913,0.0011273314305367448,0.848768788623845
spx_small_cap_index,4.870513045015677,0.008401641727273328,0.00927943171944977,0.0015949473704893501,1.2161203605013615
best_vol,2.581119366479747,0.004416234647977946,0.007031146338643653,0.0011004751841204863,0.6392408824960147
best5,13.15246578893286,0.023488319439842423,0.028470939607956165,0.006337121693256927,3.3998859308682605
best4_vol,27.603836605902604,0.050860439999620394,0.059686948571052154,0.019621281279182425,7.3619440860958765
best10,6.8803134508112995,0.009910242277295108,0.013189590766332412,0.001985620058907758,1.4344871874025191
best9_vol,6.2023435874834085,0.008099611556634504,0.009571146217188669,0.0013342589948545486,1.172402114481987
best20,13.651675871645578,0.02432874142463685,0.028123991225739234,0.007904741923256926,3.5215352846848695
best19_vol,9.876617616671881,0.01641655590207154,0.02459526511570326,0.004173753844386195,2.376262703158288
