Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,2.458981348375258,0.0007473504592680798,0.0005034414469207514,8.043371526437641e-05,0.02277033711078076
vol_only,2.2274523048182817,0.0007970372193009494,0.0005894132856267155,9.779710786397877e-05,0.024284197525075418
al_lme_prices_abs_log_returns,2.458981348375258,0.0007473504592680798,0.0005034414469207514,8.043371526437641e-05,0.02277033711078076
best_vol,2.2992569684832067,0.001380940421866292,0.001099005540001373,0.0001782329894769196,0.0420746097708892
best5,7.944058385580328,0.00810643601712703,0.007244799951440597,0.0013367856656328653,0.2469875793717082
best4_vol,6.002422151610187,0.006004018299054727,0.005293661911908501,0.0009735498221462195,0.18293093821426623
best10,17.753506893848076,0.020633901545750385,0.02006809305881468,0.00469382329374099,0.628675460462735
best9_vol,8.745103951375135,0.00974763295492515,0.009217137028179978,0.0019748674145423314,0.29699170671973074
best20,17.288183452969086,0.019908040732813437,0.022191726829082926,0.006160818250767119,0.6065598717170392
best19_vol,6.315458134198143,0.006067627681861657,0.005792925748702513,0.0012483174572429196,0.18486899427880787
