Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,40.448853932199576,0.0600606795360174,0.07873578312768346,0.006199472776671528,1.8299338726265761
vol_only,45.88060051387853,0.06430259753097523,0.0829974968345613,0.006888608787039816,1.9591769894851279
al_lme_prices_abs_log_returns,40.448853932199576,0.0600606795360174,0.07873578312768346,0.006199472776671528,1.8299338726265761
best_vol,43.71386063949553,0.06240690551547029,0.0803599849201575,0.006457743859844347,1.9014188845479378
best5,64.21209543999902,0.07985556415646078,0.09326458451089581,0.008730616230972314,2.433046094324995
best4_vol,66.72032639589101,0.08290737025307426,0.09559316623021723,0.00916393089923717,2.526028781034896
best10,58.64770374788737,0.0757998320061027,0.09258270414340658,0.008586375256225874,2.3094757035539377
best9_vol,63.503935505172926,0.08123304933887308,0.09817803581150497,0.009752005569964044,2.4750154295674616
best20,112.7821699815339,0.1400288003991307,0.1596381772834512,0.025532566463037826,4.266409354226006
best19_vol,68.18093181845121,0.08750250060596666,0.10170234551313512,0.01044411026142278,2.6660336019402227
