Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,10.669421277379397,0.022970258356467377,0.027024153829204218,0.0007307051770241826,41.87030017961382
vol_only,10.381575906660094,0.021658693510064126,0.027187011896073376,0.0008244096037528821,39.47957711899496
al_lme_closing_stock,26.51993696009929,0.05615630127695409,0.057679759223630965,0.003331214373133689,102.36198282815069
best_vol,38.96253320591064,0.08201786273773773,0.09203677239871416,0.00867170233794568,149.50257897989306
best5,23.33715089844101,0.04937347811102252,0.050301065911700214,0.002530452716192865,89.99821932077019
best4_vol,17.629431512844537,0.03833407617312319,0.041056649363143405,0.0017689403982842787,69.8755497813849
best10,22.108771318671188,0.0468138752820868,0.047618026561882014,0.0022809146221828055,85.33256266489053
best9_vol,18.752237220337545,0.040438189484089115,0.04166622122425128,0.0017549466700941855,73.71093826817349
best20,20.036751457659125,0.042369212862854326,0.04327026042805806,0.0018735110847211873,77.23081009414005
best19_vol,3.5632982406375766,0.007617076373138398,0.009080683639515114,8.904520994039462e-05,13.884445705594244
