Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,0.7960800551766527,0.00019123044871964735,0.0004731256840312277,7.437531287321523e-05,0.005826425513214643
vol_only,0.40058038226258486,0.00015318461116642018,0.0001909433298303799,3.167460896829571e-05,0.004667241711283978
al_lme_prices_abs_log_returns,0.7960800551766527,0.00019123044871964735,0.0004731256840312277,7.437531287321523e-05,0.005826425513214643
best_vol,1.519543851019402,0.0005150273998813815,0.00015819359850177326,2.541902127154283e-05,0.015691898454271547
best5,7.096275500810354,0.007399090954631588,0.006964212839469419,0.0013066916923963388,0.2254361300791747
best4_vol,5.740017317634222,0.006034638361777183,0.00623026516119827,0.001213394761928039,0.18386387287951886
best10,2.9939255037076955,0.003649422565961756,0.0047145757582713645,0.0008797541569117352,0.11119091592988732
best9_vol,12.311451316114907,0.013626828729705958,0.013023758337681842,0.0026121056598345646,0.41518337224300095
best20,5.886659261813812,0.00747785950731888,0.008504600224752011,0.002693138051647911,0.2278360570159625
best19_vol,10.904048186583717,0.01260180116371364,0.012292874677002954,0.0025192054324977196,0.3839527455188983
