Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,2.744080549419818,0.0007347066841294528,0.0017186175310078058,0.0002790051633604087,0.02238510549863803
vol_only,2.3834476429294233,0.0011520685428196259,0.0009525894738306164,0.0001593988286442678,0.03510132196937457
al_lme_prices_abs_log_returns,2.744080549419818,0.0007347066841294528,0.0017186175310078058,0.0002790051633604087,0.02238510549863803
best_vol,1.4783734796767034,0.00028796450150522817,0.0003368468929831496,5.5174077260611094e-05,0.008773726829088531
best5,7.856733905930935,0.00821685137560621,0.007692645394770314,0.001448214662280926,0.25035172386857624
best4_vol,8.94527482327734,0.008981686279232867,0.008272905561623526,0.001582307387791578,0.2736547785114094
best10,11.693147212486311,0.011526525984435218,0.009522395067401917,0.0018109459103771764,0.35119117025606417
best9_vol,7.848871723197649,0.007251848400857002,0.0056475008720027805,0.0010192685801983924,0.2209499314759344
best20,8.789166509735916,0.010014750669235113,0.011071732714373846,0.0026987059598516366,0.3051302718703508
best19_vol,7.765009625022809,0.008427073834936478,0.007343355273806657,0.0013931232462790334,0.25675679957013636
