Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,10.017658680417172,0.021290772628798974,0.02080152722869165,0.0015545186114514615,38.80892905802827
vol_only,11.161020196941658,0.02424736738105234,0.02416385911116386,0.0021047157433292892,44.19822506874859
al_lme_closing_stock,7.338913584255805,0.015975901617637664,0.015295258661599514,0.0010610369618573028,29.120955041259776
best_vol,9.864761135450221,0.021506665766638507,0.02160743505818627,0.001630039334502507,39.20246017202816
best5,3.6757853852511886,0.007872766431451348,0.00757027550439071,0.00027393640293534147,14.350518849435344
best4_vol,1.0329551926148521,0.0022296817879457736,0.0022702448152689073,0.00014895640772981153,4.0642753477775715
best10,1.2418195120487716,0.002616845997144877,0.002715559240033804,5.33574887855751e-05,4.770000245158302
best9_vol,2.1403648044000225,0.0046295539488901746,0.004714777311662277,0.00032964882285624325,8.438774576445635
best20,0.7903841092635965,0.0017536235586256335,0.002024730266814152,3.152468552181354e-05,3.196513976629151
best19_vol,1.4022373854505774,0.003034860161721511,0.0030542855570442396,0.00013656345959737635,5.531958598720442
