Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,41.97806269723025,0.06147181735330485,0.07988637475077005,0.006383550436880419,1.872928539199572
vol_only,46.10649758544798,0.06426419432306223,0.08259534335371196,0.006822868787062289,1.9580069172927983
al_lme_prices_abs_log_returns,41.97806269723025,0.06147181735330485,0.07988637475077005,0.006383550436880419,1.872928539199572
best_vol,44.33309900071897,0.0637143535789119,0.08175839096790023,0.006686058714483173,1.9412543229158485
best5,64.99073018025518,0.08066974019310041,0.09415519499575414,0.008872008357162177,2.4578524787887983
best4_vol,60.482634516990366,0.07684518985297469,0.09089940216929208,0.008303927610338296,2.341325754998326
best10,63.20759131087282,0.07966951195893962,0.09505464174379848,0.009058275597604413,2.4273774402080126
best9_vol,64.85031829206062,0.0817889676885165,0.09870002041674886,0.009778385729455113,2.4919531969434883
best20,82.3484226837915,0.1037645456286249,0.12027593688136491,0.014764767372660232,3.161506967460422
best19_vol,62.611050834289905,0.08051672555659756,0.09545035195080266,0.009176836782026835,2.4531904158799644
