Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,10.944327821934339,0.02348741748249905,0.02765720266916223,0.0007676631794474292,42.81298038423051
vol_only,20.881930265789794,0.044251788520239,0.047703704830468874,0.0023097403126484737,80.66238606342688
al_lme_closing_stock,28.145745805825786,0.05961696226061325,0.06113372291193253,0.003738504492062739,108.67009273083664
best_vol,50.71925021270683,0.10771194780460473,0.11463259706204393,0.01375490558334358,196.33788843325578
best5,19.354737875883117,0.04082192611044882,0.042228035724264985,0.0017864821960017242,74.41040817345734
best4_vol,20.529749698913346,0.04457805335035775,0.047151540584513464,0.002232062729512075,81.25710326166895
best10,19.777115129191014,0.04171136352187645,0.04313814318810757,0.0019022946032515957,76.03167907209173
best9_vol,9.590893234432672,0.020869210586002915,0.023074044204546548,0.0005356009446415499,38.04050361393237
best20,18.653049782332346,0.0393273489835906,0.04074586200850528,0.0016668113654845643,71.68608561809005
best19_vol,3.008451212252441,0.006368917517200023,0.007587107971326772,6.121199832940416e-05,11.609295369915955
