Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,3.501535849600768,0.000911932754066441,0.0016051009594171472,0.00025716992949409884,0.027784844412609224
vol_only,1.598767925262908,0.0007015813182767399,0.001147634531144501,0.00019022949198442768,0.021375839045355966
al_lme_prices_abs_log_returns,3.501535849600768,0.000911932754066441,0.0016051009594171472,0.00025716992949409884,0.027784844412609224
best_vol,4.113849958301526,0.0017069311518465122,0.0015608751502633569,0.0002538231150489567,0.05200692295085129
best5,2.9532055293328634,0.00306917743290868,0.0031955310529762754,0.0006076014172697767,0.09351195805589602
best4_vol,9.019020981916896,0.009006767798244636,0.007863805910968896,0.0014372114162938968,0.27441896435764246
best10,5.9682522732583125,0.006279119871728715,0.0058596946032880085,0.0011149930652184763,0.19131275623793814
best9_vol,8.071905999471527,0.008234446349159609,0.007418729593583221,0.0014466301805387339,0.2508878090135009
best20,17.756822040353377,0.020528292499749346,0.02115891230558026,0.004865908865627487,0.6254577551016562
best19_vol,8.85569320333742,0.010110507230407182,0.009954930524223032,0.0019032266146313615,0.3080477908889282
