Feature_Selection,MAPE,MAE,RMSE,MSE,MASE
abs_log_returns,0.9909415997756125,0.0022598378767816744,0.00202817157717787,0.00010982927123813159,4.119243623198917
vol_only,3.2215779182826223,0.006443686785503334,0.007151593329039414,0.000653998760787291,11.745585173949593
al_lme_closing_stock,0.6476226022289451,0.0013886915050904693,0.0013261306439004959,0.00016308490817117905,2.5313137219741684
best_vol,15.05850432804204,0.033239528333617825,0.030354734576866063,0.007434802818441656,60.5891819668765
best5,1.1372647858765694,0.002477208129205182,0.002216481966514999,0.00019002038590791999,4.515467190990361
best4_vol,1.8524412256768512,0.003946021215167521,0.003632137804183734,0.00034277581748798315,7.1928276193117
best10,3.8190743277827814,0.008151534962147692,0.007879899003216116,0.0006533269757381129,14.858658117515002
best9_vol,1.3610384092164418,0.0028558988741161084,0.002187268395115871,0.0001026148600135426,5.20574704990061
best20,1.6758851446738603,0.0036543508073993147,0.003143110243471466,0.0002510356796202927,6.661168668324671
best19_vol,1.0529685213101851,0.0021858065766736314,0.002339163620025522,3.432044849272991e-05,3.9842993886447715
