iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,5.887937790422433,0.008793448735602135,0.010240118203365609,0.00010486002081889971,5.66442478694486
2,100,1100,1100,1300,1000,200,10.041671413725883,0.016186275334023423,0.019213632823509286,0.0003691636862766335,10.201684840545562
3,200,1200,1200,1400,1000,200,15.402941934751171,0.03004959183786804,0.037186250607174405,0.0013828172342195788,19.602908261291585
4,300,1300,1300,1500,1000,200,24.735017305981778,0.051932182921342676,0.05875336077849772,0.0034519574027683146,25.900848563513534
5,400,1400,1400,1600,1000,200,15.024921458851919,0.03941797329210794,0.04662570067368643,0.0021739559633122034,13.988966722462367
6,500,1500,1500,1700,1000,200,30.464593620566934,0.10229161513385616,0.1155149987401171,0.013343714933929256,27.69965548893768
7,600,1600,1600,1800,1000,200,13.56342982569106,0.04634118457379076,0.05652447864747812,0.00319501668636921,12.716170787435397
8,700,1700,1700,1900,1000,200,20.9676556167218,0.053814653208373225,0.06462966913440088,0.0041769941324221295,17.672284460685955
9,800,1800,1800,2000,1000,200,28.860757160157757,0.06566085192423285,0.07135083762436642,0.005090942029698702,25.647067155043338
10,900,1900,1900,2100,1000,200,45.675908150263254,0.08890139585120484,0.09159955842314993,0.008390479103316058,41.439557195514524
11,1000,2000,2000,2200,1000,200,49.63386434039103,0.09035291286793448,0.09972735155885654,0.009945544648943766,40.23016650529108
