iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,43.33565237434029,0.05411743523216231,0.058740649175708225,0.0034504638655836316,12.03165483904648
2,100,1100,1100,1300,1000,200,25.821245970949413,0.03394117807230972,0.04258354943874398,0.0018133586828019527,7.473143720145102
3,200,1200,1200,1400,1000,200,11.540380386698278,0.016254508178574906,0.020002044406526465,0.00040008178044065665,3.831078663499471
4,300,1300,1300,1500,1000,200,17.972316641519456,0.029789861988672856,0.03756189916543574,0.0014108962689143617,5.5423358057184755
5,400,1400,1400,1600,1000,200,18.046376604071597,0.03250763946441685,0.041250750220015696,0.0017016243937141252,5.190128580656023
6,500,1500,1500,1700,1000,200,16.42443375088787,0.04018664785785586,0.05569315660469185,0.0031017276925947314,5.537726243078848
7,600,1600,1600,1800,1000,200,27.715435857785025,0.09805360487064708,0.1301661250463446,0.016943220109580617,8.805394410223974
8,700,1700,1700,1900,1000,200,29.764200580469463,0.10040769211979907,0.12648465574589704,0.015998368139158087,9.233245067477062
9,800,1800,1800,2000,1000,200,19.091662542624075,0.06109502675634397,0.08468023249169682,0.007170741774847826,6.727319665389163
10,900,1900,1900,2100,1000,200,23.427481050825534,0.05821070505983697,0.06936146135000323,0.004811012320607993,6.853519393308547
11,1000,2000,2000,2200,1000,200,42.19123201934179,0.07393993974637547,0.08161920848697296,0.006661695194039958,11.21994161314712
12,1100,2100,2100,2300,1000,200,55.353329148499206,0.08417106208737898,0.09371309890767475,0.008782144906879629,14.063605420131577
