iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,44.87743440115421,0.045430318718091646,0.053133948490157,0.0028232164821546573,1.9897245145386508
2,100,1100,1100,1300,1000,200,57.923729081894784,0.04737678622163062,0.05687997429559836,0.00323533147586793,2.064363324690528
3,200,1200,1200,1400,1000,200,56.40577644383313,0.04538190935136749,0.05589482880522811,0.0031242318871657574,1.747558755051083
4,300,1300,1300,1500,1000,200,43.85510302920393,0.04565139517510808,0.057029607011329156,0.0032523760758666437,1.6000286421905539
5,400,1400,1400,1600,1000,200,41.23994688726007,0.06155832600932312,0.08418526659046752,0.007087159110908087,1.8899158662926123
6,500,1500,1500,1700,1000,200,34.69558767044645,0.07529318852319682,0.10325200017658906,0.010660975540466348,2.07767016128355
7,600,1600,1600,1800,1000,200,37.024715222027666,0.11641843507874639,0.1603015176470072,0.025696576559933765,2.6421244178036183
8,700,1700,1700,1900,1000,200,39.43304288118601,0.1308276642980635,0.17103074063416307,0.029251514241870363,2.6728404222730893
9,800,1800,1800,2000,1000,200,35.701581362569755,0.08994805140155034,0.1110786100483005,0.012338457610262405,1.8012390044884703
10,900,1900,1900,2100,1000,200,40.95667171452805,0.08830045700843424,0.11207090050419108,0.012559886739820296,1.8176469988767456
11,1000,2000,2000,2200,1000,200,43.35093630545934,0.07364526047841144,0.092368688314244,0.008531974580893956,1.800592969467429
12,1100,2100,2100,2300,1000,200,49.189056210326555,0.06943780057842347,0.08140280457243732,0.006626416592258421,2.0492335365389165
13,1200,2200,2200,2400,1000,200,67.02368701450075,0.08323681152156306,0.0954877521311612,0.00911791080706208,2.6474648710857354
