iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,39.96162385389606,0.04175653201609417,0.04931646672606355,0.0024321138903429336,1.8417977696337002
2,100,1100,1100,1300,1000,200,60.49696245091434,0.049396052646334156,0.060060845481649805,0.003607305159970614,2.1332130049680407
3,200,1200,1200,1400,1000,200,58.99232217181727,0.046709811437875975,0.0589874729721267,0.003479521967637378,1.8058745054618661
4,300,1300,1300,1500,1000,200,44.6893542772305,0.04656669329082025,0.05809219290640024,0.003374702876674418,1.628876845043395
5,400,1400,1400,1600,1000,200,40.620973736657625,0.06365000360087515,0.0879567622358388,0.007736392023011879,1.9458806669214914
6,500,1500,1500,1700,1000,200,34.03729449326964,0.07528177341358556,0.10311293612979543,0.010632277597307272,2.0872968396631744
7,600,1600,1600,1800,1000,200,36.20366829446496,0.115407139282553,0.15992416049733127,0.025575737110776167,2.5787797417154974
8,700,1700,1700,1900,1000,200,37.01391322574991,0.11939530008035643,0.15869865595506,0.025185263401942503,2.4008056679692746
9,800,1800,1800,2000,1000,200,36.22512543819082,0.08511615347978539,0.104647217404847,0.010951040110577313,1.7327655295585387
10,900,1900,1900,2100,1000,200,39.622646520215625,0.08286857513148935,0.10609451203450869,0.01125604548384051,1.697627502711435
11,1000,2000,2000,2200,1000,200,42.86643688345769,0.07289087688441351,0.09105042782907839,0.008290180407858212,1.7640840888474734
12,1100,2100,2100,2300,1000,200,55.2566550583108,0.07288093168813377,0.08441214039388649,0.007125409445877203,2.215247990103668
13,1200,2200,2200,2400,1000,200,64.19001397104422,0.08132357468691363,0.09427096534278877,0.008887014906661281,2.5847854306694025
