iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,9.762659593756018,0.014762334722775678,0.01800355467266718,0.0003241279808517162,9.3037257864033
2,100,1100,1100,1300,1000,200,15.18135425555241,0.025077523825411462,0.028575404136159204,0.0008165537215448246,15.521145976370203
3,200,1200,1200,1400,1000,200,10.605234307262283,0.021015000215732056,0.025634330538363965,0.0006571189021500994,11.212135355663712
4,300,1300,1300,1500,1000,200,11.03573677617849,0.030371456207207957,0.04585950304436406,0.0021030940194760365,12.953996873745911
5,400,1400,1400,1600,1000,200,32.71900557085639,0.1057980404815715,0.12089887242148865,0.014616537352787388,33.640376866017796
6,500,1500,1500,1700,1000,200,14.286286118313674,0.049497585821330646,0.06610738431279456,0.004370186260679517,12.822689662597163
7,600,1600,1600,1800,1000,200,25.93922685153474,0.0719808143650969,0.08118414909891616,0.006590866064915051,19.872300594549788
8,700,1700,1700,1900,1000,200,23.73345038880518,0.056183601732576346,0.06448953181032403,0.004158899713114796,21.28052988089777
9,800,1800,1800,2000,1000,200,51.61114616508699,0.10376063362545705,0.10626966085169344,0.011293240817533945,50.155585404054754
10,900,1900,1900,2100,1000,200,22.06659038822727,0.04052406063323051,0.049564473235272466,0.0024566370070900406,18.121727319701822
